0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
-0.6372068155223533-0.5546639760261758*I	-0.4191725647557949-0.36472163970027077*I	-0.12112100495002985-0.10321684401063132*I
0.20536831432199387-0.8192402240822544*I	0.13538321193300934-0.5385009833468298*I	0.03652766576314101-0.15888976862779083*I
-0.829675058039059-0.1603398639018948*I	-0.5456281661430629-0.10559394165574516*I	-0.15803518424482246-0.02768786830149192*I
0.06993972561969049-0.8423846948127597*I	0.04556198585504201-0.5535047655829428*I	0.016619959268252785-0.16081941086570475*I
-0.7246675460355735+0.4348557965943919*I	-0.47654809558394845+0.28549847248680216*I	-0.13820863400250014+0.08673419345268701*I
-0.7118698997854077+0.45623069666128757*I	-0.46749890731846033+0.30008451096033684*I	-0.13836436668640106+0.08474092543795324*I
-0.373792007582097-0.7582065302880685*I	-0.24523952602392526-0.4983698553248849*I	-0.07522320885376593-0.14628124928712521*I
0.516306660132674+0.6699435823319038*I	0.3393920824915392+0.4406584430328055*I	0.09964335470429934+0.12564112778307018*I
-0.034010854610389774-0.8451205691662922*I	-0.022017282359838616-0.5556119782126347*I	-0.00965152909754672-0.16155630449177064*I
-0.6874976553977168+0.4926872518161418*I	-0.4513810335199232+0.3238956482023425*I	-0.1353110009575642+0.093175324175662*I
0.8070414018217068+0.2535572492515968*I	0.5302266381683257+0.16621089105442077*I	0.1557496784414831+0.052219957751031394*I
-0.6277190207826515-0.56721784162305*I	-0.412118904731086-0.3729335420058157*I	-0.12418735976332144-0.10816612687913144*I
0.822135871891545+0.20046424013362824*I	0.5400575449416928+0.13133918087687935*I	0.15961689503322332+0.04190292789574585*I
0.029112436844867695+0.8461245351028767*I	0.01950807582290323+0.5561396380532424*I	0.0027250242791426287+0.16179299419055748*I
0.4107964420301206+0.7405448167871105*I	0.2702735719918774+0.4868031800750401*I	0.07669042693062315+0.14118097656600445*I
-0.01885664352022759-0.8467778252923396*I	-0.012307547264831478-0.5567836477378258*I	-0.004489498620204445-0.16053214221195186*I
0.7153949890459439-0.45310137708283593*I	0.47021410847164985-0.297326673039636*I	0.137191000532657-0.09076761833072916*I
-0.6992422366574409-0.47790753389386686*I	-0.4595981570266143-0.3136218596581578*I	-0.13382844840714636-0.09547589410967147*I
-0.06229374023199496-0.8445305687691718*I	-0.04087696838809915-0.5544535625501237*I	-0.012332925198341942-0.16693841411272517*I
-0.13178222377401702+0.8367533583018609*I	-0.08619145967704832+0.5495991469093517*I	-0.028719803615279742+0.1632263434348409*I
0.53022737136428+0.6606233735074949*I	0.3479361937159121+0.43404635614816445*I	0.10618466525213958+0.12813077017682115*I
-0.14887181846248262+0.8340621717069397*I	-0.0974659581066741+0.5477126582356197*I	-0.03175113443184413+0.1636110400188894*I
-0.6156045419187778-0.5822864030458251*I	-0.40432075134357676-0.3821343801267191*I	-0.12007601194437215-0.11638836401459393*I
0.6578902390921981+0.5342923620112863*I	0.4318051315426123+0.3511410798986271*I	0.13111500159249476+0.10311734078592391*I
-0.3546477519562813-0.7703738450176286*I	-0.23324975374606174-0.5063945596947603*I	-0.06723362980008168-0.14698127563299979*I
-0.153851496298429+0.8336521356470049*I	-0.1009003031315464+0.5472565038834704*I	-0.03186714829683312+0.16495529384116484*I
0.46519970618099304-0.7091073985758487*I	0.30600393476443455-0.4657816364754521*I	0.08743224638916379-0.1391467385317278*I
-0.3241983895841889+0.7840491039785382*I	-0.21297029944645046+0.515445393145816*I	-0.062116162737125724+0.14962937698529385*I
-0.5770219917269876-0.6221301225119965*I	-0.37940365255497843-0.4088376106531472*I	-0.11021001256999921-0.11891670675371274*I
-0.05065523923793845-0.8466498370632143*I	-0.032857252447596685-0.5561460326055748*I	-0.012988675869812734-0.16643240018852948*I
-0.7337853418579603-0.4263913774269486*I	-0.48237835045127586-0.2801899359984388*I	-0.14092523976172927-0.08091143123235571*I
