0.8257096935448757+0.*I	0.5436285229346872+0.*I	0.15057068452350783+0.*I
0.6749440236330857-0.17016433144412124*I	0.42889076509368285-0.11044733748065359*I	0.5579963281204634-0.13248570630122075*I
-0.6232002120382857-0.2927899359490155*I	-0.40214786468763997-0.1843555174181264*I	-0.5316147275812518-0.23912113848945069*I
-0.7183707008002272-0.07927373258707966*I	-0.4565379910648663-0.05277985990970709*I	-0.5210129075326893-0.06813411301294713*I
0.22926842082345678-0.6803380685704042*I	0.14644515035802066-0.4316230921458511*I	0.16482477113674524-0.5092700445349021*I
-0.5564012573012488+0.3873176065452587*I	-0.35967995534911446+0.2509296126113149*I	-0.513790000227489+0.30629977801091524*I
-0.31090521979740027+0.6252807344692627*I	-0.19980497371520428+0.4045229964758605*I	-0.27916897969076976+0.49054839847443155*I
-0.6520501923040811-0.1849095614707064*I	-0.41357579854052423-0.11997963042760568*I	-0.5649190755454527-0.2141871132662557*I
0.6134062709842624+0.2875665438746789*I	0.3894135298247633+0.1865170165733987*I	0.5654363355346803+0.21151154821487256*I
0.44612130774398695-0.47648788201811404*I	0.28268361144245874-0.30825250206028676*I	0.4016998117958609-0.49752235950887586*I
0.6271645485994208-0.24018905746095986*I	0.39880715664285327-0.15721023252852193*I	0.5558537720085075-0.25721669544808834*I
-0.07145214629178837+0.6288347508149643*I	-0.049899700999796515+0.40359957859916223*I	-0.11517369460588514+0.6563320886359183*I
0.3946945679209971-0.5167097299400121*I	0.2565633463829295-0.3290701092300323*I	0.4289259532016237-0.4786762439260135*I
-0.2609860820574163-0.5748353000835434*I	-0.1707177922476964-0.3662234335115344*I	-0.2279560405436037-0.6294839938994914*I
0.00020987699183516034-0.6041963213397336*I	-0.003023249957917546-0.3894247568292515*I	-0.03489196986593485-0.7015198448790453*I
0.624575895781481+0.07645019051385225*I	0.39581348531625654+0.04662670553192644*I	0.6624019080655915+0.12859512494019584*I
-0.626152170070602-0.0538024031673546*I	-0.403024663554005-0.03125274460110903*I	-0.6709513859237595-0.03981752604565276*I
0.19338799162926143+0.5887474027131127*I	0.12755531166913486+0.37465924763230385*I	0.23762101630419932+0.6426938316424606*I
0.5597326842179826+0.23960959296184497*I	0.35589714425075664+0.1570189418751433*I	0.6290691138877006+0.3041134554720458*I
0.42710616061236645+0.3604555512656731*I	0.2687599553783988+0.2307106110737349*I	0.5525734423005105+0.5168803056013168*I
-0.29523860639445143+0.5006717590013124*I	-0.19261116339240864+0.32054215199291086*I	-0.32873881475623157+0.6516244818249487*I
-0.1886243737983469-0.5033590898947163*I	-0.1208196345566983-0.31753368284194455*I	-0.24072952372024098-0.7403425592610124*I
0.15688504605309372+0.5504823425213646*I	0.10282438714336525+0.3482653909661848*I	0.1819537344158204+0.7196380352836782*I
0.34915717778913424-0.42156207017676295*I	0.22222784563000172-0.26511286530760564*I	0.44344950242036635-0.6281782409187342*I
-0.35341457678210925-0.35732500995816163*I	-0.2300556713974552-0.22804288534084732*I	-0.5974788363794263-0.5441689773499799*I
-0.4882665938930718+0.009403314331026744*I	-0.3160304595710498+0.005100887193771032*I	-0.8198058131826595-0.01388695120144165*I
-0.49077845002571013+0.07632246393010908*I	-0.3165156900348122+0.05132196134374349*I	-0.8109764346682385+0.059518583462286376*I
-0.48464500244439657-0.16645513985491803*I	-0.3052345123571971-0.10488481389646169*I	-0.7393025498084379-0.3121877073072507*I
-0.09589612915640044-0.5013182066933622*I	-0.06517244969993202-0.3210118400571705*I	-0.1535571472088174-0.7870525893542468*I
0.4698511076064429-0.11335933499874233*I	0.30241936611741416-0.07568940712828724*I	0.7832309958546224-0.2581786553543835*I
-0.02582319820154176+0.43669594245866783*I	-0.012157647447660326+0.2788163761616287*I	-0.002855509374455445+0.8612158166214315*I
-0.3599980994752473-0.25742538980078966*I	-0.22551245849381774-0.16541005874634215*I	-0.6509943741013225-0.5595899674124726*I
0.46511688385807454+0.05411455903701071*I	0.2965801401501838+0.030221733539548844*I	0.8356676493422059+0.06779922827267905*I
-0.3856412676464121+0.09920701865260237*I	-0.24911392395768914+0.0663602301896801*I	-0.8591358386709933+0.21906953815852537*I
0.41837557860241387-0.1545191635461306*I	0.26841272663496213-0.10234783271560462*I	0.7893561180250863-0.32660315968925907*I
-0.3723968927061403+0.16749128737116942*I	-0.23422743615547167+0.10911950164863694*I	-0.8342229534300734+0.28602453060712424*I
0.3600967444795489-0.08255715324661494*I	0.2307169944772406-0.04852505854930183*I	0.8873502214597032-0.17843459220736954*I
-0.35976621895060096-0.015806938380267123*I	-0.2275774780741716-0.006379759563165977*I	-0.9107491823035523-0.019393425376633286*I
0.33803002078312416+0.09001720857232283*I	0.21975868137500612+0.05641204560686046*I	0.8745760188450923+0.2695978841172849*I
-0.33786631562827385-0.17781743028022706*I	-0.21882432126802423-0.11559963581454792*I	-0.7512613914056879-0.489953772698365*I
0.23119299830584558+0.2813301943404268*I	0.15155041388032048+0.18041645517080906*I	0.6482346224372616+0.6349791667674942*I
-0.231572791633159-0.2882016580884017*I	-0.14997479154970295-0.18045689168661078*I	-0.5052753368811822-0.7513548893339279*I
0.18504276774471287+0.2643259253112407*I	0.1136809637691118+0.16847311686395097*I	0.46674109953061416+0.8052155469444277*I
